Name,Campus,Unit ID,OPE ID
Alverno College,NA,238193,3832
Bryant & Stratton College,Bayshore,45175001,2678
Bryant & Stratton College,Racine,45175002,2678
Bryant & Stratton College,Wauwatosa,451750,2678
Cardinal Stritch University,NA,238430,3837
Carroll University,NA,238458,3838
Carthage College,NA,238476,3839
Concordia University,Wisconsin,238616,3842
Gateway Technical College,NA,238759,5389
Herzing University,Brookfield,459851,9621
Herzing University,Kenosha,459842,9621
Marquette University,NA,239105,3863
Milwaukee Area Technical College,NA,239248,3866
Milwaukee Institute of Art & Design,NA,239309,20771
Milwaukee School of Engineering,NA,239318,3868
Mount Mary University,NA,239390,3869
University of Wisconsin-Milwaukee,NA,240453,3896
University of Wisconsin-Milwaukee,Flex,491288,3896
University of Wisconsin-Parkside,NA,240374,5015
University of Wisconsin-Parkside,Flex,491297,5015
University of Wisconsin-Whitewater,NA,240189,3926
Waukesha County Technical College,NA,240125,5294
Wisconsin Lutheran College,NA,240338,21366
